system   D            wsystem.c:583  maybe_parent_dir                 [   0.00049] Also searching C:\Users\Morskee\Desktop\Project3\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00068] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00071] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00176] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.00503] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.00517] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.00566] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.00569] al_display=007E2C90
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.00571] al_display->vt=007E2BD8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.00607] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.00615] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00617] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00623] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00631] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00635] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00637] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00639] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00641] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00642] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00644] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00646] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00648] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00650] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00652] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00654] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00656] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00658] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00660] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00662] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00663] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00685] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00688] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00690] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00697] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00719] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00722] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00724] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00729] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.00740] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.00742] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.00744] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.00746] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.00756] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.00888] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
